WPM,W%
0.39,35%
0.49,50%
0.24,39%
1.72,49%
0.32,52%
0.99,56%
0.41,48%
0.41,38%
2.04,49%
0.45,40%
0.41,49%
1.73,58%
1.62,45%
0.31,57%
1.59,54%
0.29,49%
0.44,43%
0.41,47%
0.28,50%
0.34,47%
0.69,54%
0.33,45%
0.32,50%
0.32,45%
0.36,62%
0.35,50%
0.47,29%
0.31,42%
0.34,54%
0.68,31%
0.35,50%
1.43,50%
0.3,42%
0.29,36%
0.37,54%
0.38,40%
0.42,52%
0.42,55%
0.43,46%
0.37,39%
0.4,47%
0.38,52%
0.38,50%
0.58,56%
0.47,30%
0.38,50%
1.66,60%
1.18,38%
0.28,58%
0.36,49%
1.1,53%
0.4,54%
0.38,48%
0.54,55%
1.64,55%
0.3,67%
0.33,43%
0.39,50%
1.36,47%
1.12,58%
0.41,38%
0.32,58%
1.52,53%
1.55,53%
1.26,48%
0.41,67%
1.56,46%
0.33,54%
0.46,52%
0.7,45%
0.37,50%
0.34,50%
0.41,54%
0.39,47%
0.42,57%
2.24,45%
1.95,54%
0.38,57%
1.71,51%
1.84,65%
0.34,49%
0.42,54%
0.34,45%
0.55,43%
0.36,47%
0.36,50%
0.36,36%
0.39,60%
1.38,45%
0.25,51%
0.41,43%
1.51,35%
0.38,52%
1.57,46%
0.54,63%
0.43,59%
0.37,63%
0.44,52%
0.42,49%
0.33,53%
0.35,45%
0.34,41%
0.32,46%
0.41,54%
0.31,26%
0.3,62%
1.38,48%
0.42,50%
0.35,55%
